Nr	3D-ObjectID	BurialNo	Category	Archaeological_element	CatalogueNo	Individual	Title	Description	Archaeological Project	Fieldseason	Year_digitized	Polygons	Decimated geometry	Digitization Method	Software Used	3D-X	3D-Y	3D-Z	Author	File-Format	Burial	Site	Period	Ceramic_period	Structure	Location	Arquitecture	Deposit	Reopening	Evidence_reopening	MNI	Associated objects	Individual	Sex	Age	Articulation	Position-torso	Position-extremities	Orientation	Cranial_Modification	Dental-modification	Individual	Sex	Age	Articulation	Position-torso	Position-extremities	Orientation	Cranial_Modification	Dental-modification	Individual	Sex	Age	Articulation	Position-torso	Position-extremities	Orientation	Cranial_Modification	Dental-modification	Individual	Sex	Age	Articulation	Position-torso	Position-extremities	Orientation	Cranial_Modification	Dental-modification
43	PalSep_Model86	10	Burial			Individual L95A and L95B	Burial: Burial 10, Capstones	The slabs covering Burial 10	PREP	2016	2016	3.054.283	99000	Photogrammetry	Agisoft Metashape Pro				Mirko De Tomassi	OBJ	B10+9	Palenque, Group IV		Murciélagos-Balunté	J6	West side of J6 banister	Box	Collective secondary	Yes?	Bones beneath the wall of the box	4?	Vessel, four oliva shells, spindle whorl, jade bead, possibly sherds of more vessels	L95A	Femenine	Adult	Secondary	Disarticulated	Disarticulated																														
44	PalSep_Model88	10	Burial				Burial: Burial 10, Grave Goods	A fragmented but complete ceramic bowl in Burial 10	PREP	2016	2016	3.038.819	98999	Photogrammetry	Agisoft Metashape Pro				Mirko De Tomassi	OBJ	B10+9	Palenque, Group IV		Murciélagos-Balunté	J6	West side of J6 banister	Box	Collective secondary	Yes?	Bones beneath the wall of the box	4?	Vessel, four oliva shells, spindle whorl, jade bead, possibly sherds of more vessels										L95B	Femenine		Secondary																							
45	PalSep_Model89	10	Burial			Individuals 10A, 10B, 10C, 10D	Burial: Burial 10, Interred Individuals	The secondary individuals interred in Burial 10	PREP	2016	2016	9.174.957	98999	Photogrammetry	Agisoft Metashape Pro				Mirko De Tomassi	OBJ	B10+9	Palenque, Group IV		Murciélagos-Balunté	J6	West side of J6 banister	Box	Collective secondary	Yes?	Bones beneath the wall of the box	4?	Vessel, four oliva shells, spindle whorl, jade bead, possibly sherds of more vessels	S10A	Femenine	Newborn	Secondary	Disarticulated	Disarticulated				S10B	Masculine	Adult	Secondary	Disarticulated	Disarticulated				S10C	Femenine	30-35	Secondary	Disarticulated	Disarticulated				S10D		Adult	Secondary	Disarticulated	Disarticulated			
46	PalSep_Model91	11	Burial				Burial: Burial 11, Grave Goods 	A fragmented but complete polychrome ceramic bowl in Burial 11	PREP	2016	2016	2.084.941	98999	Photogrammetry	Agisoft Metashape Pro				Mirko De Tomassi	OBJ	B11	Palenque, Group IV		Murciélagos-Balunté	J4	East side	Elaborate Crypt	Individual secondary	Yes	Relleno debajo de lajas completas, vasija encima de relleno, secondario reducido	1	Vessel, fragment of textile																																				
47	PalSep_Model92	11	Burial				Burial: Burial 11, Capstones	Burial 11 is an elaborate grave made of well-made limestone slabs	PREP	2016	2016	4.343.547	99000	Photogrammetry	Agisoft Metashape Pro				Mirko De Tomassi	OBJ	B11	Palenque, Group IV		Murciélagos-Balunté	J4	East side	Elaborate Crypt	Individual secondary	Yes	Relleno debajo de lajas completas, vasija encima de relleno, secondario reducido	1	Vessel, fragment of textile																																				
48	PalSep_Model99	13	Burial			Individual 13A	Burial: Burial 13, Individual A	Adult individual of undertermined sex interred in a flexed position in Burial 13	PREP	2016	2016	1.601.773	98999	Photogrammetry	Agisoft Metashape Pro				Mirko De Tomassi	OBJ	B13	Palenque, Group IV			Patio		Pit	Mixed	Yes	Reduced primary	1+1?	Two vessels	S13A		40-44 ys	Reduced primary	Lateral left	Flexed	35 E																													
49	PalSep_Model105	18	Burial			Individual 18A	Burial: Burial 18, Individual A first layer	Female adult interred in Burial 18 (first layer)	PREP	2017	2017	9.451.977	99000	Photogrammetry	Agisoft Metashape Pro				Mirko De Tomassi	OBJ	B18	Palenque, Group IV			J3	Behind	Pit	Mixed	No		3?		S18A	Femenine	Adult	Primary	Supine	Extended	16 E 																													
50	PalSep_Model106	18	Burial			Individual 18A	Burial: Burial 18, Individual A second layer	Female adult interred in Burial 18 (second layer)	PREP	2017	2017	2.586.965	99000	Photogrammetry	Agisoft Metashape Pro				Mirko De Tomassi	OBJ	B18	Palenque, Group IV			J3	Behind	Pit	Mixed	No		3?		S18A	Femenine	Adult	Primary	Supine	Extended	16 E 																													
51	PalSep_Model109	20	Burial				Burial: Burial 20, Urn	Burial 20 is the only funerary urn found in Group IV so far and one of the few in Palenque	PREP	2017	2017	84.928		Photogrammetry	Agisoft Metashape Pro				Mirko De Tomassi	OBJ	B20	Palenque, Group IV			J6	West side of J6 banister	Urn	Mixed?	No		4	Jade bead, spindle whorl																																				
52	PalSep_Model111	20	Burial				Burial: Burial 20, Interred Individuals	The remains of four subadults interred in Burial 20	PREP	2017	2017	10.027.590	99000	Photogrammetry	Agisoft Metashape Pro				Mirko De Tomassi	OBJ	B20	Palenque, Group IV			J6	West side of J6 banister	Urn	Mixed?	No		4	Jade bead, spindle whorl																																				
53	PalSep_Model113	20	Burial				Burial: Burial 20, Bottom	The urn was placed in a small grave made of piled stones	PREP	2017	2017	59.651		Photogrammetry	Agisoft Metashape Pro				Mirko De Tomassi	OBJ	B20	Palenque, Group IV			J6	West side of J6 banister	Urn	Mixed?	No		4	Jade bead, spindle whorl																																				
